photo_key,face_index,person_name,matched_user_id,similarity,bbox_left,bbox_top,bbox_width,bbox_height
Camera 1/S&V R C1 Sangeet-1.jpg,,,,,,,,
Camera 1/S&V R C1 Sangeet-10.jpg,,,,,,,,
Camera 1/S&V R C1 Sangeet-100.jpg,2,sam,sam_v2,99.999557,0.53085643,0.22383595,0.05359192,0.10404363
Camera 1/S&V R C1 Sangeet-1000.jpg,2,sam,sam_v2,99.999008,0.40502051,0.18586655,0.04029227,0.08649305
Camera 1/S&V R C1 Sangeet-1000.jpg,5,abhy,abhy,99.791969,0.06467102,0.19144444,0.02957410,0.04944514
Camera 1/S&V R C1 Sangeet-1001.jpg,2,sam,sam_v2,99.998962,0.42274427,0.16641445,0.04242248,0.08587429
Camera 1/S&V R C1 Sangeet-1002.jpg,1,sam,sam_v2,99.983803,0.40123037,0.18748631,0.04464761,0.09011802
Camera 1/S&V R C1 Sangeet-1002.jpg,5,abhy,abhy,99.893913,0.16923475,0.21736462,0.02920639,0.04550413
Camera 1/S&V R C1 Sangeet-1003.jpg,2,sam,sam_v2,99.989578,0.37980852,0.20946831,0.03892380,0.07978325
Camera 1/S&V R C1 Sangeet-1003.jpg,5,abhy,abhy,99.707733,0.00490996,0.21330725,0.03165206,0.04956881
Camera 1/S&V R C1 Sangeet-1004.jpg,5,abhy,abhy,99.067329,-0.00013717,0.19008046,0.01989857,0.05470694
Camera 1/S&V R C1 Sangeet-1005.jpg,2,sam,sam_v2,99.981270,0.34532464,0.20603120,0.03602423,0.07707392
Camera 1/S&V R C1 Sangeet-1006.jpg,2,sam,sam_v2,99.944717,0.35378063,0.16729763,0.03467248,0.07951425
Camera 1/S&V R C1 Sangeet-1007.jpg,,,,,,,,
Camera 1/S&V R C1 Sangeet-1008.jpg,1,sam,sam_v2,99.997444,0.44475451,0.17147470,0.04461944,0.09405845
Camera 1/S&V R C1 Sangeet-1009.jpg,2,sam,sam_v2,99.978859,0.39653778,0.16075277,0.04459659,0.09731392
Camera 1/S&V R C1 Sangeet-101.jpg,2,sam,sam_v2,99.998993,0.52413273,0.17255270,0.05769757,0.10957388
Camera 1/S&V R C1 Sangeet-1010.jpg,2,sam,sam_v2,99.964851,0.32568818,0.13278224,0.03624414,0.07880898
Camera 1/S&V R C1 Sangeet-1011.jpg,1,sam,sam_v2,99.999245,0.47275293,0.16516136,0.04452844,0.08764969
Camera 1/S&V R C1 Sangeet-1012.jpg,2,sam,sam_v2,99.998055,0.43850699,0.16969450,0.04490494,0.08268584
Camera 1/S&V R C1 Sangeet-1013.jpg,1,sam,sam_v2,99.990677,0.51161921,0.13707054,0.04894992,0.09130706
Camera 1/S&V R C1 Sangeet-1014.jpg,2,sam,sam_v2,99.998085,0.51175791,0.13568018,0.04798840,0.08511114
Camera 1/S&V R C1 Sangeet-1015.jpg,2,sam,sam_v2,99.993805,0.50005412,0.14446363,0.04706680,0.09663887
Camera 1/S&V R C1 Sangeet-1016.jpg,2,sam,sam_v2,99.836647,0.45853823,0.14056133,0.04445706,0.09998076
Camera 1/S&V R C1 Sangeet-1017.jpg,2,sam,sam_v2,99.982529,0.32360283,0.14653462,0.04559167,0.08754211
Camera 1/S&V R C1 Sangeet-1018.jpg,1,sam,sam_v2,99.991814,0.34650016,0.13633256,0.04099341,0.08166973
Camera 1/S&V R C1 Sangeet-1019.jpg,1,sam,sam_v2,99.991188,0.33633381,0.16406481,0.03718716,0.07312115
Camera 1/S&V R C1 Sangeet-102.jpg,3,sam,sam_v2,99.999413,0.52878845,0.18842651,0.05385632,0.10180169
Camera 1/S&V R C1 Sangeet-1020.jpg,2,sam,sam_v2,99.988243,0.36547491,0.14719474,0.03750912,0.08072840
Camera 1/S&V R C1 Sangeet-1021.jpg,,,,,,,,
